query,ground_truth_answer,relevant_doc_ids,category
What is the primary global technology business strategy of Microsoft Corp.?,"Microsoft Corp.'s strategy leverages its ability to design and develop operating systems, hardware, software, and cloud services to provide innovative design and seamless integration.","FIN_MSFT_2024_10-K_S00552,FIN_MSFT_2024_10-K_S00654,FIN_MSFT_2024_10-K_S00774,FIN_MSFT_2024_10-K_S00948,FIN_MSFT_2024_10-K_S01908,FIN_MSFT_2024_10-K_S01944,FIN_MSFT_2024_10-K_S03114,FIN_MSFT_2024_10-K_S03438,FIN_MSFT_2024_10-K_S03510,FIN_MSFT_2024_10-K_S06204,FIN_MSFT_2024_10-K_S06540,FIN_MSFT_2024_10-K_S07830,FIN_MSFT_2024_10-K_S08388,FIN_MSFT_2024_10-K_S09102,FIN_MSFT_2024_10-K_S09354,FIN_MSFT_2024_10-K_S09372,FIN_MSFT_2023_10-K_S00372,FIN_MSFT_2023_10-K_S01902,FIN_MSFT_2023_10-K_S02016,FIN_MSFT_2023_10-K_S02286,FIN_MSFT_2023_10-K_S02670,FIN_MSFT_2023_10-K_S02874,FIN_MSFT_2023_10-K_S03336,FIN_MSFT_2023_10-K_S04044,FIN_MSFT_2023_10-K_S06258,FIN_MSFT_2023_10-K_S07134,FIN_MSFT_2023_10-K_S07392,FIN_MSFT_2023_10-K_S07596,FIN_MSFT_2023_10-K_S08406,FIN_MSFT_2023_10-K_S08664,FIN_MSFT_2023_10-K_S09648",Fact lookup
What is the document ID for NVIDIA Corp.'s Business Overview in 2023?,The document ID for NVIDIA's Business Overview is FIN_NVDA_2023_10-K_S00564.,"FIN_NVDA_2023_10-K_S00564,FIN_NVDA_2023_10-K_S00984,FIN_NVDA_2023_10-K_S02736,FIN_NVDA_2023_10-K_S03138,FIN_NVDA_2023_10-K_S03192,FIN_NVDA_2023_10-K_S03378,FIN_NVDA_2023_10-K_S04176,FIN_NVDA_2023_10-K_S05196,FIN_NVDA_2023_10-K_S05412,FIN_NVDA_2023_10-K_S05928,FIN_NVDA_2023_10-K_S06054,FIN_NVDA_2023_10-K_S06312,FIN_NVDA_2023_10-K_S06960,FIN_NVDA_2023_10-K_S06966,FIN_NVDA_2023_10-K_S07188,FIN_NVDA_2023_10-K_S09960",Fact lookup
What custom chip development strategies are mentioned in Apple's 10-K?,Apple's 10-K states that custom silicon development and proprietary algorithmic designs give the company a unique competitive advantage.,"FIN_AAPL_2024_10-K_S00527,FIN_AAPL_2024_10-K_S04061,FIN_AAPL_2024_10-K_S04925,FIN_AAPL_2024_10-K_S05405,FIN_AAPL_2024_10-K_S05711,FIN_AAPL_2024_10-K_S05759,FIN_AAPL_2024_10-K_S06389,FIN_AAPL_2024_10-K_S07133,FIN_AAPL_2024_10-K_S07163,FIN_AAPL_2024_10-K_S07595,FIN_AAPL_2024_10-K_S08117,FIN_AAPL_2024_10-K_S08915",Fact lookup
Where is Apple's supply chain network of third-party suppliers primarily concentrated?,Apple's supply chain network of third-party suppliers is primarily concentrated in the Asia-Pacific region.,"FIN_AAPL_2023_10-K_S01809,FIN_AAPL_2023_10-K_S03165,FIN_AAPL_2023_10-K_S03387,FIN_AAPL_2023_10-K_S03687,FIN_AAPL_2023_10-K_S04335,FIN_AAPL_2023_10-K_S04563,FIN_AAPL_2023_10-K_S06693,FIN_AAPL_2023_10-K_S06831,FIN_AAPL_2023_10-K_S08043,FIN_AAPL_2023_10-K_S08163,FIN_AAPL_2023_10-K_S08589,FIN_AAPL_2023_10-K_S08805,FIN_AAPL_2023_10-K_S08847,FIN_AAPL_2023_10-K_S08871,FIN_AAPL_2023_10-K_S09555,FIN_AAPL_2023_10-K_S09747",Fact lookup
What specific data privacy regulations is Alphabet Inc. subject to?,"Alphabet Inc. is subject to strict data privacy regulations, including the European Union's General Data Protection Regulation (GDPR) and the California Consumer Privacy Act (CCPA).","FIN_GOOGL_2024_10-K_S00993,FIN_GOOGL_2024_10-K_S01437,FIN_GOOGL_2024_10-K_S01497,FIN_GOOGL_2024_10-K_S01683,FIN_GOOGL_2024_10-K_S02307,FIN_GOOGL_2024_10-K_S02385,FIN_GOOGL_2024_10-K_S02421,FIN_GOOGL_2024_10-K_S02529,FIN_GOOGL_2024_10-K_S02619,FIN_GOOGL_2024_10-K_S03075,FIN_GOOGL_2024_10-K_S03897,FIN_GOOGL_2024_10-K_S04725,FIN_GOOGL_2024_10-K_S05223,FIN_GOOGL_2024_10-K_S05265,FIN_GOOGL_2024_10-K_S05607,FIN_GOOGL_2024_10-K_S06153,FIN_GOOGL_2024_10-K_S06315,FIN_GOOGL_2024_10-K_S08181,FIN_GOOGL_2024_10-K_S09129,FIN_GOOGL_2024_10-K_S09489",Fact lookup
What is the focus of Apple Inc.'s forward-looking statements in the year 2021?,"In 2021, Apple Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AAPL_2021_10-K_S01354,FIN_AAPL_2021_10-K_S01816,FIN_AAPL_2021_10-K_S02014,FIN_AAPL_2021_10-K_S02548,FIN_AAPL_2021_10-K_S03400,FIN_AAPL_2021_10-K_S03712,FIN_AAPL_2021_10-K_S04936,FIN_AAPL_2021_10-K_S05302,FIN_AAPL_2021_10-K_S06982,FIN_AAPL_2021_10-K_S08182,FIN_AAPL_2021_10-K_S09022",Fact lookup
What is the focus of Microsoft Corp.'s forward-looking statements in the year 2022?,"In 2022, Microsoft Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_MSFT_2022_10-K_S00154,FIN_MSFT_2022_10-K_S00358,FIN_MSFT_2022_10-K_S01270,FIN_MSFT_2022_10-K_S02710,FIN_MSFT_2022_10-K_S02944,FIN_MSFT_2022_10-K_S04432,FIN_MSFT_2022_10-K_S05728,FIN_MSFT_2022_10-K_S06346,FIN_MSFT_2022_10-K_S06526,FIN_MSFT_2022_10-K_S08080,FIN_MSFT_2022_10-K_S08224,FIN_MSFT_2022_10-K_S08404,FIN_MSFT_2022_10-K_S08968,FIN_MSFT_2022_10-K_S09418",Fact lookup
What is the focus of NVIDIA Corp.'s forward-looking statements in the year 2023?,"In 2023, NVIDIA Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_NVDA_2023_10-K_S00388,FIN_NVDA_2023_10-K_S01300,FIN_NVDA_2023_10-K_S01738,FIN_NVDA_2023_10-K_S02146,FIN_NVDA_2023_10-K_S02302,FIN_NVDA_2023_10-K_S02542,FIN_NVDA_2023_10-K_S03658,FIN_NVDA_2023_10-K_S03802,FIN_NVDA_2023_10-K_S04990,FIN_NVDA_2023_10-K_S06430,FIN_NVDA_2023_10-K_S06886,FIN_NVDA_2023_10-K_S07180,FIN_NVDA_2023_10-K_S07186,FIN_NVDA_2023_10-K_S07798,FIN_NVDA_2023_10-K_S08746,FIN_NVDA_2023_10-K_S08764,FIN_NVDA_2023_10-K_S09466",Fact lookup
What is the focus of Alphabet Inc. (Google)'s forward-looking statements in the year 2024?,"In 2024, Alphabet Inc. (Google)'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_GOOGL_2024_10-K_S02962,FIN_GOOGL_2024_10-K_S03256,FIN_GOOGL_2024_10-K_S04192,FIN_GOOGL_2024_10-K_S04894,FIN_GOOGL_2024_10-K_S05806,FIN_GOOGL_2024_10-K_S05866,FIN_GOOGL_2024_10-K_S07132,FIN_GOOGL_2024_10-K_S07144,FIN_GOOGL_2024_10-K_S07966,FIN_GOOGL_2024_10-K_S08050",Fact lookup
What is the focus of Advanced Micro Devices Inc.'s forward-looking statements in the year 2025?,"In 2025, Advanced Micro Devices Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AMD_2025_10-K_S01684,FIN_AMD_2025_10-K_S01720,FIN_AMD_2025_10-K_S02794,FIN_AMD_2025_10-K_S03616,FIN_AMD_2025_10-K_S04576,FIN_AMD_2025_10-K_S04612,FIN_AMD_2025_10-K_S04882,FIN_AMD_2025_10-K_S04906,FIN_AMD_2025_10-K_S05134,FIN_AMD_2025_10-K_S05530,FIN_AMD_2025_10-K_S05608,FIN_AMD_2025_10-K_S06880,FIN_AMD_2025_10-K_S07150,FIN_AMD_2025_10-K_S07570,FIN_AMD_2025_10-K_S07702,FIN_AMD_2025_10-K_S09394,FIN_AMD_2025_10-K_S09478,FIN_AMD_2025_10-K_S09982",Fact lookup
What is the focus of Apple Inc.'s forward-looking statements in the year 2021?,"In 2021, Apple Inc.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_AAPL_2021_10-K_S01354,FIN_AAPL_2021_10-K_S01816,FIN_AAPL_2021_10-K_S02014,FIN_AAPL_2021_10-K_S02548,FIN_AAPL_2021_10-K_S03400,FIN_AAPL_2021_10-K_S03712,FIN_AAPL_2021_10-K_S04936,FIN_AAPL_2021_10-K_S05302,FIN_AAPL_2021_10-K_S06982,FIN_AAPL_2021_10-K_S08182,FIN_AAPL_2021_10-K_S09022",Fact lookup
What is the focus of Microsoft Corp.'s forward-looking statements in the year 2022?,"In 2022, Microsoft Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_MSFT_2022_10-K_S00154,FIN_MSFT_2022_10-K_S00358,FIN_MSFT_2022_10-K_S01270,FIN_MSFT_2022_10-K_S02710,FIN_MSFT_2022_10-K_S02944,FIN_MSFT_2022_10-K_S04432,FIN_MSFT_2022_10-K_S05728,FIN_MSFT_2022_10-K_S06346,FIN_MSFT_2022_10-K_S06526,FIN_MSFT_2022_10-K_S08080,FIN_MSFT_2022_10-K_S08224,FIN_MSFT_2022_10-K_S08404,FIN_MSFT_2022_10-K_S08968,FIN_MSFT_2022_10-K_S09418",Fact lookup
What is the focus of NVIDIA Corp.'s forward-looking statements in the year 2023?,"In 2023, NVIDIA Corp.'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_NVDA_2023_10-K_S00388,FIN_NVDA_2023_10-K_S01300,FIN_NVDA_2023_10-K_S01738,FIN_NVDA_2023_10-K_S02146,FIN_NVDA_2023_10-K_S02302,FIN_NVDA_2023_10-K_S02542,FIN_NVDA_2023_10-K_S03658,FIN_NVDA_2023_10-K_S03802,FIN_NVDA_2023_10-K_S04990,FIN_NVDA_2023_10-K_S06430,FIN_NVDA_2023_10-K_S06886,FIN_NVDA_2023_10-K_S07180,FIN_NVDA_2023_10-K_S07186,FIN_NVDA_2023_10-K_S07798,FIN_NVDA_2023_10-K_S08746,FIN_NVDA_2023_10-K_S08764,FIN_NVDA_2023_10-K_S09466",Fact lookup
What is the focus of Alphabet Inc. (Google)'s forward-looking statements in the year 2024?,"In 2024, Alphabet Inc. (Google)'s forward-looking statements focus on its growth outlook, capital expenditures, tax rates, and planned expansion into corporate AI platforms.","FIN_GOOGL_2024_10-K_S02962,FIN_GOOGL_2024_10-K_S03256,FIN_GOOGL_2024_10-K_S04192,FIN_GOOGL_2024_10-K_S04894,FIN_GOOGL_2024_10-K_S05806,FIN_GOOGL_2024_10-K_S05866,FIN_GOOGL_2024_10-K_S07132,FIN_GOOGL_2024_10-K_S07144,FIN_GOOGL_2024_10-K_S07966,FIN_GOOGL_2024_10-K_S08050",Fact lookup
